node,created_iteration,parent,action,rank,blocks,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46
69,75,68,25,3,"[2, 24, 25]",0,0,0,0,0,0,0,4,0,4,2,0,0,0,4,0,0,0,4,4,0,0,0,0,2,0,0,8,12,0,4,2,0,2,0,0,0,4,2,0,0,0,8,10,0,0
70,76,69,0,5,"[0, 1, 2, 24, 25]",0,0,0,0,0,0,0,4,0,4,2,0,0,0,4,0,0,0,4,4,0,0,0,0,2,0,0,8,12,0,4,2,0,2,0,0,0,4,2,0,0,0,8,10,0,0
71,77,68,8,4,"[2, 8, 24]",0,0,0,0,0,0,2,2,0,2,2,0,0,0,4,0,0,0,2,4,0,0,0,0,2,0,0,6,16,0,0,2,0,2,0,0,0,2,4,0,0,0,6,12,0,0
72,78,71,15,6,"[2, 8, 15, 24]",0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,2,4,0,0,0,0,2,0,0,4,10,0,0,0,0,0,0,0,0,2,2,0,0,0,4,12,0,0
73,79,34,28,4,"[2, 28, 37, 38]",0,0,0,0,0,0,4,8,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,2,2,0,0,0,2,2,0,4,4,6,2,0
74,80,43,31,6,"[2, 16, 28, 31, 37]",0,0,0,0,0,0,3,3,0,0,1,3,0,0,6,0,0,0,0,2,0,1,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,1,1,0,2,2,5,1,0
75,81,63,25,4,"[2, 25, 36, 39]",0,0,0,0,0,0,20,8,20,16,16,4,0,0,20,0,0,0,8,16,0,16,0,0,8,0,0,16,8,16,16,0,0,0,4,0,0,4,2,4,0,8,8,4,0,4
76,82,33,39,5,"[2, 9, 24, 39]",0,0,0,0,0,0,2,2,0,2,2,0,0,0,4,0,0,0,2,4,0,0,0,0,2,0,0,4,12,0,2,2,0,0,0,0,0,2,2,0,0,0,4,8,0,0
77,83,64,12,7,"[2, 9, 12, 36, 39]",0,0,0,0,0,0,4,3,2,1,1,3,0,0,8,0,0,0,4,2,0,2,0,0,2,0,0,4,10,2,2,1,0,0,2,0,0,2,2,2,0,4,4,7,1,1
78,85,44,38,6,"[0, 1, 23, 38]",0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,10,0,0,2,0,2,0,0,0,0,2,0,0,0,2,8,0,0
79,86,73,4,6,"[2, 4, 28, 37, 38]",0,0,0,0,0,0,2,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,1,0,0,0,1,1,0,2,3,4,1,0
80,87,4,19,4,"[19, 22, 24]",0,0,0,0,0,0,8,16,10,8,8,14,0,0,8,0,0,0,6,12,0,10,0,0,8,0,0,14,14,10,8,6,0,2,8,0,0,6,0,4,0,8,8,8,2,2
81,88,8,24,4,"[0, 23, 24]",0,0,0,0,0,0,6,8,0,6,4,0,0,0,12,0,0,0,6,8,0,0,0,0,8,0,0,12,20,0,6,4,0,4,0,0,0,6,6,4,0,0,6,10,0,0
82,89,15,26,4,"[0, 6, 26]",0,0,0,0,0,0,4,8,3,5,5,6,0,0,12,0,0,0,4,6,0,5,0,0,8,0,0,10,11,5,6,3,0,2,4,0,0,4,1,4,0,4,8,9,1,1
83,90,55,26,4,"[0, 19, 26]",0,0,0,0,0,0,8,12,6,8,8,10,0,0,8,0,0,0,6,8,0,8,0,0,0,0,0,12,10,10,10,4,0,2,8,0,0,2,0,0,0,8,6,8,2,2
84,91,3,37,3,"[0, 28, 37]",0,0,0,0,0,0,6,11,6,5,6,7,0,0,13,0,0,0,4,6,0,4,0,0,4,0,0,12,10,5,7,3,0,1,4,0,0,3,1,2,0,4,5,8,1,1
85,92,81,20,6,"[0, 20, 23, 24]",0,0,0,0,0,0,4,4,0,2,2,0,0,0,8,0,0,0,4,4,0,0,0,0,6,0,0,6,16,0,4,2,0,2,0,0,0,4,6,4,0,0,4,10,0,0
86,93,80,0,6,"[0, 19, 22, 24]",0,0,0,0,0,0,8,14,6,8,8,12,0,0,6,0,0,0,6,12,0,10,0,0,2,0,0,12,12,8,8,6,0,2,8,0,0,4,0,0,0,8,6,8,2,2
87,94,2,26,2,"[0, 26]",0,0,0,0,0,0,10,16,10,12,12,12,0,0,16,0,0,0,10,12,0,12,0,0,8,0,0,16,16,12,14,6,0,4,8,0,0,6,2,4,0,8,10,10,2,2
88,95,87,29,3,"[0, 26, 29]",0,0,0,0,0,0,5,9,5,6,6,6,0,0,10,0,0,0,4,6,0,5,0,0,4,0,0,8,10,5,7,3,0,4,6,0,0,3,1,2,0,4,8,7,1,1
89,96,87,38,3,"[0, 26, 38]",0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,6,0,0,4,4,0,0,0,0,0,0,0,6,6,0,0
90,97,88,16,5,"[0, 16, 26, 29]",0,0,0,0,0,0,2,4,0,1,2,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2,4,1,1,1,0,2,2,0,0,0,0,0,0,2,5,5,0,0
91,99,66,16,5,"[16, 22, 24, 28]",0,0,0,0,0,0,6,10,2,4,6,2,0,0,8,0,0,0,4,6,0,2,0,0,4,0,0,6,10,2,4,4,0,2,2,0,0,4,2,2,0,2,6,7,0,0
92,100,67,1,6,"[1, 4, 22, 24]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,4,4,0,0,0,0,0,0,0,0,2,0,4,0,0,6,8,0,0
93,101,66,8,5,"[8, 22, 24, 28]",0,0,0,0,0,0,1,3,0,1,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,4,7,0,2,1,0,0,0,0,0,1,2,0,0,0,4,8,0,0
94,103,21,25,6,"[2, 6, 21, 25]",0,0,0,0,0,0,6,0,6,6,6,0,0,0,8,0,0,0,11,8,0,6,0,0,5,0,0,10,15,8,8,0,0,0,2,0,0,6,3,2,0,4,6,11,0,2
95,104,30,34,6,"[0, 6, 23, 34]",0,0,0,0,0,0,2,4,0,2,2,0,0,0,7,0,0,0,2,2,0,0,0,0,8,0,0,7,9,0,2,2,0,1,0,0,0,4,3,4,0,0,6,8,0,0
96,105,4,6,4,"[6, 22, 24]",0,0,0,0,0,0,8,12,4,7,7,8,0,0,8,0,0,0,6,10,0,6,0,0,3,0,0,10,16,5,7,5,0,3,4,0,0,3,3,0,0,4,5,9,1,1
97,106,96,35,5,"[6, 22, 24, 35]",0,0,0,0,0,0,4,8,4,4,2,6,0,0,6,0,0,0,4,6,0,4,0,0,2,0,0,6,10,4,6,2,0,2,4,0,0,2,2,0,0,2,4,6,1,1
98,107,2,20,3,"[0, 20]",0,0,0,0,0,0,12,8,8,10,10,10,0,0,16,0,0,0,14,12,0,12,0,0,8,0,0,16,28,10,10,6,0,4,8,0,0,8,6,4,0,8,8,14,2,2
99,108,98,19,5,"[0, 19, 20]",0,0,0,0,0,0,10,8,6,8,8,10,0,0,8,0,0,0,10,12,0,10,0,0,2,0,0,12,20,8,6,6,0,2,8,0,0,4,2,0,0,8,6,12,2,2
100,109,98,4,5,"[0, 4, 20]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,12,0,4,0,0,0,0,0,0,4,2,0,0,0,4,12,0,0
101,110,99,30,6,"[0, 19, 20, 30]",0,0,0,0,0,0,5,6,3,4,4,5,0,0,5,0,0,0,5,6,0,4,0,0,1,0,0,6,11,3,4,3,0,2,4,0,0,2,1,0,0,4,5,9,1,1
102,111,98,27,4,"[0, 20, 27]",0,0,0,0,0,0,10,6,8,8,8,10,0,0,16,0,0,0,10,8,0,10,0,0,6,0,0,12,12,8,8,4,0,0,4,0,0,6,2,4,0,8,6,10,2,2
103,112,35,15,6,"[8, 9, 15, 24]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,2,0,0,0,4,12,0,0
104,113,37,22,6,"[0, 2, 22, 26]",0,0,0,0,0,0,8,6,6,10,8,2,0,0,4,0,0,0,8,12,0,8,0,0,0,0,0,8,16,6,6,2,0,4,4,0,0,4,2,0,0,4,6,8,0,2
105,114,96,26,5,"[6, 22, 24, 26]",0,0,0,0,0,0,4,10,1,2,2,6,0,0,5,0,0,0,2,4,0,2,0,0,2,0,0,6,10,1,4,4,0,2,2,0,0,1,2,0,0,2,2,7,1,0
106,115,32,5,7,"[0, 5, 6, 12, 18]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,8,8,0,0,0,0,0,0,0,0,4,0,8,0,0,8,10,0,0
107,116,102,5,6,"[0, 5, 20, 27]",0,0,0,0,0,0,8,4,4,8,8,8,0,0,12,0,0,0,6,8,0,10,0,0,6,0,0,8,8,6,2,4,0,0,4,0,0,2,0,4,0,8,6,10,2,2
108,117,100,9,7,"[0, 4, 9, 20]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,2,0,0,0,2,12,0,0
109,118,102,37,5,"[0, 20, 27, 37]",0,0,0,0,0,0,8,2,6,8,8,0,0,0,10,0,0,0,4,8,0,8,0,0,4,0,0,10,6,6,8,0,0,0,2,0,0,2,0,2,0,4,6,6,0,2
110,119,80,37,5,"[19, 22, 24, 37]",0,0,0,0,0,0,8,6,6,8,8,2,0,0,6,0,0,0,4,8,0,8,0,0,4,0,0,8,6,6,4,0,0,0,4,0,0,2,0,2,0,4,6,6,0,2
111,120,67,39,5,"[4, 22, 24, 39]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,4,6,0,0
112,121,105,2,7,"[2, 6, 22, 24, 26]",0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,8,0,1,1,0,1,0,0,0,0,1,0,0,0,2,7,0,0
113,122,2,24,2,"[0, 24]",0,0,0,0,0,0,16,22,12,18,16,14,0,0,24,0,0,0,16,20,0,14,0,0,10,0,0,24,28,12,18,10,0,6,8,0,0,10,6,4,0,8,10,12,2,2
114,123,113,27,3,"[0, 24, 27]",0,0,0,0,0,0,10,10,8,12,8,10,0,0,16,0,0,0,8,8,0,8,0,0,4,0,0,8,8,6,10,4,0,4,8,0,0,4,2,4,0,8,10,8,2,2
115,124,113,28,3,"[0, 24, 28]",0,0,0,0,0,0,8,15,6,9,8,7,0,0,18,0,0,0,7,10,0,6,0,0,5,0,0,17,18,5,12,5,0,4,6,0,0,5,3,2,0,4,8,10,1,1
